season,match_type,match_name,round,date,home_team,away_team,result,win_loss
2013,中超联赛,中超联赛29轮,第29轮,2013-10-30,上海东亚,广州恒大,1-1,平
2013,中超联赛,中超联赛30轮,第30轮,2013-11-03,江苏舜天,上海东亚,0-0,平
2014,中超联赛,中超联赛1轮,第1轮,2014-03-09,辽宁宏运,上海上港,1-1,平
2014,中超联赛,中超联赛2轮,第2轮,2014-03-16,上海上港,上海申鑫,5-1,胜
2014,中超联赛,中超联赛3轮,第3轮,2014-03-22,杭州绿城,上海上港,1-2,胜
2014,中超联赛,中超联赛4轮,第4轮,2014-03-28,上海上港,北京国安,1-0,胜
2014,中超联赛,中超联赛5轮,第5轮,2014-04-05,河南建业,上海上港,1-0,负
2014,中超联赛,中超联赛6轮,第6轮,2014-04-12,上海上港,长春亚泰,1-0,胜
2014,中超联赛,中超联赛7轮,第7轮,2014-04-20,大连阿尔滨,上海上港,1-1,平
2014,中超联赛,中超联赛8轮,第8轮,2014-04-26,上海上港,上海申花,1-1,平
2014,中超联赛,中超联赛9轮,第9轮,2014-04-30,广州恒大,上海上港,5-0,负
2014,中超联赛,中超联赛10轮,第10轮,2014-05-04,广州富力,上海上港,2-2,平
2014,中超联赛,中超联赛11轮,第11轮,2014-05-11,上海上港,贵州人和,5-2,胜
2014,中超联赛,中超联赛12轮,第12轮,2014-05-18,山东鲁能,上海上港,3-3,平
2014,中超联赛,中超联赛14轮,第14轮,2014-05-25,江苏舜天,上海上港,1-0,负
2014,中超联赛,中超联赛13(补赛)轮,第13轮（补赛）,2014-05-28,上海上港,哈尔滨毅腾,1-0,胜
2014,足协杯,足协杯十六分之一决赛,十六分之一决赛,2014-07-16,武汉宏兴,上海上港,0-0,平
2014,中超联赛,中超联赛15轮,第15轮,2014-07-19,上海上港,天津泰达,1-1,平
2014,中超联赛,中超联赛16轮,第16轮,2014-07-27,上海上港,辽宁宏运,3-3,平
2014,中超联赛,中超联赛17轮,第17轮,2014-07-30,上海申鑫,上海上港,1-3,胜
2014,中超联赛,中超联赛18轮,第18轮,2014-08-03,上海上港,杭州绿城,2-1,胜
2014,中超联赛,中超联赛19轮,第19轮,2014-08-10,北京国安,上海上港,2-0,负
2014,中超联赛,中超联赛20轮,第20轮,2014-08-13,上海上港,河南建业,1-0,胜
2014,中超联赛,中超联赛21轮,第21轮,2014-08-17,长春亚泰,上海上港,1-2,胜
2014,中超联赛,中超联赛22轮,第22轮,2014-08-23,上海上港,大连阿尔滨,2-0,胜
2014,中超联赛,中超联赛23轮,第23轮,2014-08-31,上海申花,上海上港,1-1,平
2014,中超联赛,中超联赛24轮,第24轮,2014-09-13,上海上港,广州恒大,0-3,负
2014,中超联赛,中超联赛25轮,第25轮,2014-09-21,上海上港,广州富力,1-2,负
2014,中超联赛,中超联赛26轮,第26轮,2014-09-28,贵州人和,上海上港,1-1,平
2014,中超联赛,中超联赛27轮,第27轮,2014-10-05,上海上港,山东鲁能,0-0,平
2014,中超联赛,中超联赛28轮,第28轮,2014-10-19,哈尔滨毅腾,上海上港,1-1,平
2014,中超联赛,中超联赛29轮,第29轮,2014-10-26,上海上港,江苏舜天,3-0,胜
2014,中超联赛,中超联赛30轮,第30轮,2014-11-02,天津泰达,上海上港,3-3,平
2015,中超联赛,中超联赛1轮,第1轮,2015-03-07,上海上港,江苏舜天,2-1,胜
2015,中超联赛,中超联赛2轮,第2轮,2015-03-15,上海申鑫,上海上港,0-2,胜
2015,中超联赛,中超联赛3轮,第3轮,2015-03-22,上海上港,广州富力,2-1,胜
2015,中超联赛,中超联赛4轮,第4轮,2015-04-05,天津泰达,上海上港,0-0,平
2015,中超联赛,中超联赛5轮,第5轮,2015-04-12,上海上港,北京国安,1-1,平
2015,中超联赛,中超联赛6轮,第6轮,2015-04-19,上海上港,重庆力帆,2-1,胜
