比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
亚冠联赛,G组第二轮,2016.03.02,上海上港,2,1,水原三星,胜,埃尔克森，武磊
中超联赛,1,2016.03.05,河南建业,1,0,上海上港,负,/
中超联赛,2,2016.03.11,上海上港,1,1,上海申花,平,蔡慧康
亚冠联赛,G组第三轮,2016.03.15,上海上港,2,1,大阪钢巴,胜,埃尔克森2
中超联赛,3,2016.04.02,重庆力帆,1,1,上海上港,平,武磊
亚冠联赛,G组第四轮,2016.04.06,大阪钢巴,0,2,上海上港,胜,武磊，吕文君
中超联赛,4,2016.04.10,上海上港,4,0,辽宁宏运,胜,武磊，吕文君，吉安，埃尔克森
中超联赛,5,2016.04.15,上海上港,1,0,广州富力,胜,埃尔克森
亚冠联赛,G组第五轮,2016.04.19,上海上港,3,1,墨尔本胜利,胜,于海，埃尔克森，孔卡(PK)
中超联赛,6,2016.04.24,长春亚泰,1,3,上海上港,胜,埃尔克森，孔卡，吉安
中超联赛,7,2016.04.29,上海上港,3,0,延边富德,胜,埃尔克森2，王燊超
亚冠联赛,G组第六轮,2016.05.03,水原三星,3,0,上海上港,负,/
中超联赛,8,2016.05.08,石家庄永昌,1,2,上海上港,胜,孔卡，武磊
足协杯,十六分之一决赛,2016.05.11,北京北控,0,1,上海上港,胜,武磊
中超联赛,9,2016.05.14,北京国安,2,1,上海上港,负,埃弗拉
亚冠联赛,八分之一决赛首回合,2016.05.17,东京FC,2,1,上海上港,负,武磊
中超联赛,10,2016.05.21,上海上港,1,0,杭州绿城,胜,埃弗拉
亚冠联赛,八分之一决赛次回合,2016.05.24,上海上港,1,0,东京FC,胜,武磊
中超联赛,11,2016.05.29,广州恒大,1,1,上海上港,平,埃弗拉
中超联赛,12,2016.06.11,上海上港,1,2,江苏苏宁,负,吉安
中超联赛,21(提前),2016.06.15,上海上港,1,1,长春亚泰,平,武磊
中超联赛,13,2016.06.19,山东鲁能,0,0,上海上港,平,/
中超联赛,14,2016.06.25,上海上港,1,1,天津泰达,平,埃弗拉
足协杯,八分之一决赛,2016.06.29,广州富力,1,0,上海上港,负,/
中超联赛,15,2016.07.03,河北华夏,0,2,上海上港,胜,埃尔克森，武磊
中超联赛,16,2016.07.10,上海上港,5,0,河南建业,胜,麦克格文(OG)，埃尔克森，武磊，埃弗拉，吕文君
中超联赛,17,2016.07.17,上海申花,2,1,上海上港,负,武磊
中超联赛,18,2016.07.20,上海上港,5,3,重庆力帆,胜,武磊2，罗歆(OG)，吕文君，孔卡
中超联赛,19,2016.07.23,辽宁宏运,3,1,上海上港,负,埃弗拉
中超联赛,20,2016.07.31,广州富力,3,3,上海上港,平,武磊3(1PK)
中超联赛,22,2016.08.13,延边富德,1,1,上海上港,平,埃弗拉
中超联赛,23,2016.08.19,上海上港,4,1,石家庄永昌,胜,傅欢，武磊，孔卡，埃尔克森(PK)
亚冠联赛,四分之一决赛首回合,2016.08.23,上海上港,0,0,全北现代,平,/
中超联赛,24,2016.09.09,上海上港,2,2,北京国安,平,胡尔克2(1PK)
亚冠联赛,四分之一决赛次回合,2016.09.13,全北现代,5,0,上海上港,负,石柯(OG)
中超联赛,25,2016.09.18,杭州绿城,1,2,上海上港,胜,埃弗拉，贺惯
中超联赛,26,2016.09.24,上海上港,0,0,广州恒大,平,/
中超联赛,27,2016.10.15,江苏苏宁,2,1,上海上港,负,胡尔克
中超联赛,28,2016.10.22,上海上港,4,1,山东鲁能,胜,埃尔克森2，胡尔克，李浩文
中超联赛,29,2016.10.26,天津泰达,0,1,上海上港,胜,周海滨(OG)
中超联赛,30,2016.10.30,上海上港,3,1,河北华夏,胜,居吕姆(OG)，武磊，埃尔克森
亚冠联赛,资格赛第三轮,2017.02.07,上海上港,3,0,素可泰,胜,奥斯卡，埃尔克森，基亚提萨克(OG)
亚冠联赛,F组第一轮,2017.02.21,首尔FC,0,1,上海上港,胜,胡尔克
亚冠联赛,F组第二轮,2017.02.28,上海上港,5,1,西悉尼流浪者,胜,胡尔克，奥斯卡，埃尔克森，武磊，石柯
中超联赛,1,2017.03.04,上海上港,5,1,长春亚泰,胜,埃尔克森3，武磊，胡尔克(PK)
中超联赛,2,2017.03.10,上海上港,2,0,延边富德,胜,吕文君，武磊
亚冠联赛,F组第三轮,2017.03.15,上海上港,3,2,浦和红钻,胜,石柯，埃尔克森，胡尔克
中超联赛,3,2017.04.01,广州恒大,3,2,上海上港,负,埃尔克森，胡尔克
